 Biozone , Substrate,Folk_5, EUNIS , MSFD_BBHT ,Source ,Resolution
Atlantic lower abyssal,Biogenic reef,Coarse sediment,A3: Infralittoral rock and other hard substrata,Abyssal,Atlas of Commercial Fisheries Around Ireland,High
Atlantic lower bathyal,Coarse sediment,Mixed sediment,A4: Circalittoral rock and other hard substrata,Circalittoral coarse sediment,EMODnet Geology,Low
Atlantic mid abyssal,Coarse substrate,Mud to muddy Sand,A5.13: Infralittoral coarse sediment,Circalittoral mixed sediment,EUSeaMap 2019,Medium
Atlantic mid bathyal,Fine mud,Rock,A5.14: Circalittoral coarse sediment,Circalittoral mud,INFOMAR,Medium - High
Atlantic upper abyssal,Mixed sediment,Sand,A5.15: Deep circalittoral coarse sediment,Circalittoral rock and biogenic reef,No data,No data
Atlantic upper bathyal,Mud,Unclassified,A5.23 or A5.24: Infralittoral fine sand or Infralittoral muddy sand,Circalittoral sand,,
Atlanto-Mediterranean mid bathyal,Muddy sand,,A5.25 or A5.26: Circalittoral fine sand or Circalittoral muddy sand,Infralittoral coarse sediment,,
Deep circalittoral,Rock,,A5.27: Deep circalittoral sand,Infralittoral mixed sediment,,
Infralittoral,Rock or other hard substrata,,A5.33: Infralittoral sandy mud,Infralittoral mud,,
Shallow circalittoral,Sand,,A5.34: Infralittoral fine mud,Infralittoral rock and biogenic reef,,
Unclassified,Sandy mud,,A5.35: Circalittoral sandy mud,Infralittoral sand,,
Upper bathyal,Sandy mud or Muddy sand,,A5.36: Circalittoral fine mud,Lower bathyal rock and biogenic reef                     ,,
,sandy Mud/muddy Sand,,A5.37: Deep circalittoral mud,Lower bathyal sediment                                     ,,
,Seabed,,A5.44: Circalittoral mixed sediments,Lower bathyal sediment or Lower bathyal rock and biogenic reef,,
,Unclassified substrate,,A5.45: Deep circalittoral mixed sediments,Offshore circalittoral coarse sediment,,
,Unclassiifed substrate,,A6.11: Deep-sea rock,Offshore circalittoral mixed sediment,,
,,,A6.2: Deep-sea mixed substrata,Offshore circalittoral mud,,
,,,A6.3 Deep-sea sand or A6.4 Deep-sea muddy sand,Offshore circalittoral rock and biogenic reef,,
,,,A6.5: Deep-sea mud,Offshore circalittoral sand,,
,,,"A6.72: Seamounts, knolls and banks",Unclassified,,
,,,A6.75: Carbonate mounds,Upper bathyal rock and biogenic reef                    ,,
,,,A6: Deep-sea bed,Upper bathyal sediment                                      ,,
,,,Unclassified,Upper bathyal sediment or Upper bathyal rock and biogenic reef,,
